@LastModified,@Name,@Path,Task.@version,Task.@xmlns:ns0,Task.Actions.@Context,Task.Actions.ComHandler.ClassId,Task.Actions.ComHandler.Data,Task.Actions.Exec,Task.Actions.Exec.@id,Task.Actions.Exec.Arguments,Task.Actions.Exec.Command,Task.Actions.Exec.WorkingDirectory,Task.Principals.Principal.@id,Task.Principals.Principal.GroupId,Task.Principals.Principal.LogonType,Task.Principals.Principal.RunLevel,Task.Principals.Principal.UserId,Task.RegistrationInfo.Author,Task.RegistrationInfo.Date,Task.RegistrationInfo.Description,Task.RegistrationInfo.SecurityDescriptor,Task.RegistrationInfo.Source,Task.RegistrationInfo.URI,Task.RegistrationInfo.Version,Task.Settings.AllowHardTerminate,Task.Settings.AllowStartOnDemand,Task.Settings.DisallowStartIfOnBatteries,Task.Settings.DisallowStartOnRemoteAppSession,Task.Settings.Enabled,Task.Settings.ExecutionTimeLimit,Task.Settings.Hidden,Task.Settings.IdleSettings.Duration,Task.Settings.IdleSettings.RestartOnIdle,Task.Settings.IdleSettings.StopOnIdleEnd,Task.Settings.IdleSettings.WaitTimeout,Task.Settings.MaintenanceSettings.Deadline,Task.Settings.MaintenanceSettings.Exclusive,Task.Settings.MaintenanceSettings.Period,Task.Settings.MultipleInstancesPolicy,Task.Settings.Priority,Task.Settings.RestartOnFailure.Count,Task.Settings.RestartOnFailure.Interval,Task.Settings.RunOnlyIfIdle,Task.Settings.RunOnlyIfNetworkAvailable,Task.Settings.StartWhenAvailable,Task.Settings.StopIfGoingOnBatteries,Task.Settings.UseUnifiedSchedulingEngine,Task.Settings.WakeToRun,Task.Triggers,Task.Triggers.BootTrigger,Task.Triggers.BootTrigger.@id,Task.Triggers.BootTrigger.Delay,Task.Triggers.BootTrigger.Enabled,Task.Triggers.BootTrigger.EndBoundary,Task.Triggers.BootTrigger.Repetition.Interval,Task.Triggers.CalendarTrigger,Task.Triggers.CalendarTrigger.@id,Task.Triggers.CalendarTrigger.Enabled,Task.Triggers.CalendarTrigger.EndBoundary,Task.Triggers.CalendarTrigger.RandomDelay,Task.Triggers.CalendarTrigger.Repetition.Duration,Task.Triggers.CalendarTrigger.Repetition.Interval,Task.Triggers.CalendarTrigger.Repetition.StopAtDurationEnd,Task.Triggers.CalendarTrigger.ScheduleByDay.DaysInterval,Task.Triggers.CalendarTrigger.ScheduleByMonth.DaysOfMonth.Day,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.April,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.August,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.December,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.February,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.January,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.July,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.June,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.March,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.May,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.November,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.October,Task.Triggers.CalendarTrigger.ScheduleByMonth.Months.September,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Friday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Monday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Saturday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Sunday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Thursday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Tuesday,Task.Triggers.CalendarTrigger.ScheduleByWeek.DaysOfWeek.Wednesday,Task.Triggers.CalendarTrigger.ScheduleByWeek.WeeksInterval,Task.Triggers.CalendarTrigger.StartBoundary,Task.Triggers.EventTrigger,Task.Triggers.EventTrigger.@id,Task.Triggers.EventTrigger.Delay,Task.Triggers.EventTrigger.Enabled,Task.Triggers.EventTrigger.ExecutionTimeLimit,Task.Triggers.EventTrigger.Repetition.Duration,Task.Triggers.EventTrigger.Repetition.Interval,Task.Triggers.EventTrigger.StartBoundary,Task.Triggers.EventTrigger.Subscription,Task.Triggers.IdleTrigger,Task.Triggers.IdleTrigger.@id,Task.Triggers.IdleTrigger.Enabled,Task.Triggers.IdleTrigger.ExecutionTimeLimit,Task.Triggers.LogonTrigger,Task.Triggers.LogonTrigger.@id,Task.Triggers.LogonTrigger.Delay,Task.Triggers.LogonTrigger.Enabled,Task.Triggers.LogonTrigger.EndBoundary,Task.Triggers.LogonTrigger.ExecutionTimeLimit,Task.Triggers.LogonTrigger.Repetition.Interval,Task.Triggers.LogonTrigger.Repetition.StopAtDurationEnd,Task.Triggers.LogonTrigger.StartBoundary,Task.Triggers.LogonTrigger.UserId,Task.Triggers.RegistrationTrigger,Task.Triggers.RegistrationTrigger.Delay,Task.Triggers.SessionStateChangeTrigger,Task.Triggers.SessionStateChangeTrigger.@id,Task.Triggers.SessionStateChangeTrigger.Delay,Task.Triggers.SessionStateChangeTrigger.Enabled,Task.Triggers.SessionStateChangeTrigger.ExecutionTimeLimit,Task.Triggers.SessionStateChangeTrigger.StateChange,Task.Triggers.TimeTrigger,Task.Triggers.TimeTrigger.@id,Task.Triggers.TimeTrigger.Enabled,Task.Triggers.TimeTrigger.RandomDelay,Task.Triggers.TimeTrigger.Repetition.Interval,Task.Triggers.TimeTrigger.Repetition.StopAtDurationEnd,Task.Triggers.TimeTrigger.StartBoundary,Task.Triggers.WnfStateChangeTrigger,Task.Triggers.WnfStateChangeTrigger.@id,Task.Triggers.WnfStateChangeTrigger.Data,Task.Triggers.WnfStateChangeTrigger.DataOffset,Task.Triggers.WnfStateChangeTrigger.Delay,Task.Triggers.WnfStateChangeTrigger.Enabled,Task.Triggers.WnfStateChangeTrigger.StateName
2024-02-14 20:46:09,Adobe Acrobat Update Task,C:\Windows\System32\Tasks\Adobe Acrobat Update Task,1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe,,Author,S-1-5-4,,LeastPrivilege,,Adobe Systems Incorporated,,This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes,,,\Adobe Acrobat Update Task,,true,true,true,,true,PT72H,false,PT10M,false,true,PT1H,,,,IgnoreNew,7,,,false,false,true,true,,false,,,,,,,,,TriggerDaily,true,2027-05-02T12:05:00,,,,,1,,,,,,,,,,,,,,,,,,,,,,2013-01-01T15:00:00,,,,,,,,,,,,,,,TriggerUserLoggon,PT12M,true,2027-05-02T08:00:00,,PT3H30M,false,2013-08-01T12:05:00,,,,,,,,,,,,,,,,,,,,,,,
2023-11-08 15:45:01,AeonTimelineUpdater,C:\Windows\System32\Tasks\AeonTimelineUpdater,1.3,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,,"""C:\ProgramData\Aeon Timeline\AutoUpdate\AeonTimelineInstallLauncher.exe""",,Author,,InteractiveToken,HighestAvailable,S-1-5-18,EIM_Forensics\Examiner,2023-11-08T10:44:59,,,,\AeonTimelineUpdater,,true,true,false,false,true,PT72H,false,PT10M,false,true,PT1H,,,,IgnoreNew,7,,,false,false,false,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,2023-11-08T10:44:00,<QueryList><Query><Select Path='APPLICATION'>*[System[Provider[@Name='Aeon Timeline'] and EventID=152]]</Select></Query></QueryList>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08 16:07:41,BlueStacksHelper_nxt,C:\Windows\System32\Tasks\BlueStacksHelper_nxt,1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,-sr,C:\Program Files\BlueStacks_nxt\BlueStacksHelper.exe,,Author,,InteractiveToken,LeastPrivilege,EIM_Forensics\Examiner,,2023-08-08T12:07:41.455-04:00,BlueStacks Helper,,,\BlueStacksHelper_nxt,,true,true,false,,true,PT72H,false,PT10M,false,true,PT1H,,,,Queue,7,3,PT5M,false,false,true,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,PT360M,false,2023-08-08T12:12:41.373-04:00,,,,,,,
2024-03-06 07:04:52,MicrosoftEdgeUpdateTaskMachineCore,C:\Windows\System32\Tasks\MicrosoftEdgeUpdateTaskMachineCore,1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,/c,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,,Author,,,HighestAvailable,S-1-5-18,,,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.",,,\MicrosoftEdgeUpdateTaskMachineCore,1.3.185.21,,,false,,true,PT72H,,,,,,,,,IgnoreNew,4,,,false,false,true,,,false,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2024-03-06T02:39:52,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-06 07:04:52,MicrosoftEdgeUpdateTaskMachineUA,C:\Windows\System32\Tasks\MicrosoftEdgeUpdateTaskMachineUA,1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,/ua /installsource scheduler,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,,Author,,,HighestAvailable,S-1-5-18,,,"Keeps your Microsoft software up to date. If this task is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls itself when there is no Microsoft software using it.",,,\MicrosoftEdgeUpdateTaskMachineUA,1.3.185.21,,,false,,true,PT72H,,,,,,,,,IgnoreNew,4,,,false,false,true,,,false,,,,,,,,,,,,,P1D,PT1H,,1,,,,,,,,,,,,,,,,,,,,,,2024-03-06T02:09:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08 19:38:33,npcapwatchdog,C:\Windows\System32\Tasks\npcapwatchdog,1.4,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,,C:\Program Files\Npcap\CheckStatus.bat,,Author,,InteractiveToken,LeastPrivilege,S-1-5-18,,,Ensure Npcap service is configured to start at boot,,,\npcapwatchdog,,true,true,false,false,true,PT72H,false,PT10M,false,true,PT1H,,,,IgnoreNew,7,,,false,false,false,true,true,false,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 14:02:23,NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},C:\Windows\System32\Tasks\NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,"-d ""C:\Program Files\NVIDIA Corporation\NvDriverUpdateCheck"" -l 3 -f C:\ProgramData\NVIDIA\NvContainerDriverUpdateCheck.log",C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,C:\Program Files\NVIDIA Corporation\NvContainer,Author,S-1-5-32-545,,LeastPrivilege,,NVIDIA Corporation,,Checks for NVIDIA driver updates before Quadro Experience is first launched,,,\NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,true,true,false,,true,PT72H,false,PT10M,false,false,PT1H,,,,IgnoreNew,7,,,false,false,true,false,,false,,,,,,,,,NvDriverUpdateCheckDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},true,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2023-06-05T12:25:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 14:02:26,NVIDIA RTX Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},C:\Windows\System32\Tasks\NVIDIA RTX Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,,"""C:\Program Files\NVIDIA Corporation\NVIDIA RTX Experience\NVIDIA RTX Experience.exe""",C:\Program Files\NVIDIA Corporation\NVIDIA RTX Experience,Author,S-1-5-32-545,,HighestAvailable,,NVIDIA Corporation,,,,,\NVIDIA RTX Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,true,true,false,,true,PT72H,false,PT10M,false,false,PT1H,,,,IgnoreNew,7,,,false,false,true,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,"<QueryList><Query Id=""0"" Path=""Application""><Select Path=""Application"">*[System[Provider[@Name='NVIDIA RTX Experience SelfUpdate Source'] and EventID=0]]</Select></Query></QueryList>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 14:02:26,NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},C:\Windows\System32\Tasks\NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,--launcher=TaskScheduler,C:\Program Files (x86)\NVIDIA Corporation\NvNode\nvnodejslauncher.exe,C:\Program Files (x86)\NVIDIA Corporation\NvNode,Author,S-1-5-32-545,,LeastPrivilege,,NVIDIA Corporation,,NVIDIA NvNode Launcher,,,\NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,true,true,false,,true,PT72H,false,PT10M,false,false,PT1H,,,,IgnoreNew,7,,,false,false,true,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,true,,,PT1440M,false,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05 14:02:22,NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},C:\Windows\System32\Tasks\NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},1.2,http://schemas.microsoft.com/windows/2004/02/mit/task,Author,,,,,,C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe,C:\Program Files\NVIDIA Corporation\Update Core,Author,S-1-5-32-545,,LeastPrivilege,,NVIDIA Corporation,,NVIDIA Profile Updater,,,\NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,true,true,false,,true,PT72H,false,PT10M,false,false,PT1H,,,,IgnoreNew,7,,,false,false,true,false,,false,,,,,,,,,NvProfileUpdaterDaily_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},true,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2023-06-05T12:25:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
